,assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,timeOnIcePerGame
574,7,9,14,0.30434,3,29,12,Palat,1,12,8476292,12,19,0.65517,L,3,5,0,0,0.14285,L,84,Ondrej Palat,1224.5172
575,9,6,14,0.51724,2,23,10,Pacioretty,0,16,8474157,-1,19,0.82608,L,4,5,0,0,0.11235,L,89,Max Pacioretty,1049.7391
576,11,7,16,0.5,1,22,8,Burakovsky,0,4,8477444,4,19,0.86363,L,1,3,0,0,0.27586,L,29,Andre Burakovsky,758.0909
577,11,3,8,0.49367,2,17,7,Pettersson,0,2,8480012,2,18,1.05882,C,4,10,0,0,0.18421,L,38,Elias Pettersson,1161.7058
578,6,6,10,0.0,2,30,11,Tarasenko,0,4,8475765,-6,17,0.56666,R,5,7,0,0,0.11,L,100,Vladimir Tarasenko,1093.7333
579,8,7,10,0.5,2,27,9,Gurianov,1,2,8478495,0,17,0.62962,R,2,7,0,0,0.16666,L,54,Denis Gurianov,833.1481
580,10,6,12,0.48563,1,35,7,Schenn,1,20,8475170,-4,17,0.48571,C,1,5,0,0,0.0875,L,80,Brayden Schenn,1139.6571
581,12,4,11,0.52322,2,25,5,Stastny,0,10,8471669,3,17,0.68,C,1,6,0,0,0.08333,L,60,Paul Stastny,1056.12
582,6,8,12,0.5,3,30,10,Beauvillier,0,10,8478463,6,16,0.53333,L,2,4,0,0,0.12195,L,82,Anthony Beauvillier,998.6
583,9,4,12,0.51111,1,27,7,Marchessault,0,22,8476539,2,16,0.59259,C,3,4,0,0,0.08433,R,83,Jonathan Marchessault,1021.2592
584,10,6,16,0.48768,0,22,6,Hayes,0,4,8475763,9,16,0.72727,C,0,0,0,0,0.11111,L,54,Kevin Hayes,1007.0909
585,11,4,11,,0,20,5,Burns,0,6,8470613,2,16,0.8,D,1,5,0,0,0.08771,R,57,Brent Burns,1704.5
586,11,5,12,0.4,1,18,5,Atkinson,0,8,8474715,5,16,0.88888,R,0,4,0,0,0.09433,R,53,Cam Atkinson,1224.0555
587,14,1,7,,0,17,2,Hughes,0,2,8480800,-2,16,0.94117,D,1,9,0,0,0.06666,L,30,Quinn Hughes,1367.7058
588,14,2,10,,1,19,2,Karlsson,1,8,8474578,-3,16,0.8421,D,0,6,0,0,0.03921,R,51,Erik Karlsson,1484.8947
589,5,9,13,0.44444,1,23,10,Teravainen,0,6,8476882,12,15,0.65217,L,1,2,0,0,0.19607,L,51,Teuvo Teravainen,1196.1739
590,5,4,7,0.56221,2,19,10,Hertl,1,4,8476881,2,15,0.78947,C,5,7,1,1,0.16949,L,59,Tomas Hertl,1311.5263
591,7,6,13,0.4363,2,29,8,Gourde,0,19,8476826,9,15,0.51724,C,2,2,0,0,0.13559,L,59,Yanni Gourde,1051.8275
592,7,5,9,0.49541,0,30,8,Lee,0,23,8475314,3,15,0.5,L,3,6,0,0,0.08695,L,92,Anders Lee,1069.9666
593,7,6,10,0.21052,2,37,8,DeBrusk,0,12,8478498,1,15,0.4054,L,2,5,0,0,0.08988,L,89,Jake DeBrusk,942.4864
594,9,5,12,0.48632,1,20,6,Dubois,1,18,8479400,-2,15,0.75,L,1,3,0,0,0.12765,L,47,Pierre-Luc Dubois,1212.95
595,9,3,9,0.43793,0,27,6,Karlsson,0,2,8476448,3,15,0.55555,C,1,4,2,2,0.08571,L,70,William Karlsson,1170.9629
596,10,4,11,0.51449,2,34,5,Bozak,0,10,8475098,-5,15,0.44117,C,1,4,0,0,0.10869,R,46,Tyler Bozak,902.7352
597,10,5,14,0.55555,1,20,5,Meier,0,34,8478414,3,15,0.75,R,0,1,0,0,0.09259,L,54,Timo Meier,1025.5
598,12,2,8,,0,30,3,Toews,0,6,8478038,0,15,0.5,D,1,7,0,0,0.08108,L,37,Devon Toews,1208.1666
599,5,8,11,0.22222,3,27,9,Tuch,1,16,8477949,5,14,0.51851,R,1,3,0,0,0.12676,R,71,Alex Tuch,965.2222
